scenario_name,cost_delta_usd_trust_minus_deterministic,peak_delta_kw_trust_minus_deterministic,emissions_delta_kg_trust_minus_deterministic,throughput_delta_kwh_trust_minus_deterministic
baseline,-431.28999698680174,3.243794854478484,-3184.6865591688547,14104.40067063933
comm_loss_light,-573.7109062307333,3.243794854478484,-4354.209667651681,15684.221261445335
comm_loss_heavy,-779.8103095736587,25.13582599105574,-6021.403090849612,20029.741717976774
missing_meter_data,-1645.7407188778168,-115.31311999999972,-11882.537545647239,36659.41769692266
sensor_spike_anomalies,-2067.4185767137106,-42.062389172088525,-14891.652697523124,43846.14396337859
forecast_shock_pv_drop,-368.913735170824,-16.002045145520944,-2920.5581670990214,12863.822773489439
ev_surge_event,-368.9465626845197,-4.8074451455203445,-2868.770484729437,14965.570966479214
compound_stress,-2028.8913324581808,-7.447519999999459,-14822.411570984172,36676.57778518473
